    # BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
    # 1)the baryon density $\Omega_b h^2$ and
    # 2)the number of extra relativistic degrees of freedom $\Delta N$
    #
    # $\Delta N=0$ is the number of extra relativistic species (which mimic decoupled neutrinos).
    # If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neutrino decoupling (arXiv:2008.01074).
    #
    # Computation performed with PRIMAT (Python port by Cyril Pitrou 2018-2026)
    # Details on arXiv:1801.08023 and update arXiv:2011.11320
    # Last update 2026 (notably including the LUNA rate for the d(p,g)He3 reaction)
    #
    # Neutron Decay rate $\tau_n$ is 878.4s (+-0.5s), following Particle Data Group 2026
    # CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
    #
    # He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
    # He4 is also provided as $Y_P = Y_{He4} * m_{He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$
    # where $m_{He4}=4.0026032541$ and $m_H1=1.00782503223$ are atomic masses.
    #
    # Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
    #
    # eta10 is $10^{10} eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
    # Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better.
    #
    # Errors are computed with a Monte-Carlo method on 1000 samples, varying nuclear rates and tau_n.
    # See PRIMAT paper (2018) for details.
    #
    # Ombh2       eta10       DeltaN          Yp              Yp^BBN          sig(Yp^BBN)     D/H             sig(D/H)
  0.027000    7.39121     -2.500000       0.206384        0.207556        0.0001034858    1.147033e-05    1.744213e-07
  0.028000    7.66496     -2.500000       0.206722        0.207896        0.0001034011    1.071393e-05    1.687493e-07
  0.029000    7.9387      -2.500000       0.207047        0.208223        0.0001033415    1.002111e-05    1.634132e-07
  0.030000    8.21245     -2.500000       0.207361        0.208537        0.0001034305    9.384914e-06    1.583714e-07
  0.031000    8.4862      -2.500000       0.207663        0.208841        0.0001033009    8.799245e-06    1.535856e-07
  0.032000    8.75995     -2.500000       0.207955        0.209134        0.0001033229    8.258874e-06    1.490283e-07
  0.033000    9.0337      -2.500000       0.208237        0.209418        0.0001032548    7.759304e-06    1.446743e-07
  0.034000    9.30745     -2.500000       0.208510        0.209692        0.0001032621    7.296599e-06    1.405013e-07
  0.035000    9.58119     -2.500000       0.208776        0.209958        0.0001031284    6.867243e-06    1.364922e-07
  0.036000    9.85494     -2.500000       0.209032        0.210215        0.0001031785    6.468189e-06    1.326325e-07
  0.037000    10.1287     -2.500000       0.209281        0.210466        0.0001031519    6.096731e-06    1.289069e-07
  0.038000    10.4024     -2.500000       0.209523        0.210709        0.0001031328    5.750473e-06    1.253066e-07
  0.039000    10.6762     -2.500000       0.209759        0.210946        0.0001030916    5.427331e-06    1.218208e-07
  0.040000    10.9499     -2.500000       0.209988        0.211176        0.0001031274    5.125324e-06    1.18442e-07
  0.005000    1.36874     -2.000000       0.196894        0.198026        0.0001100522    0.0001928218    1.462972e-06
  0.006000    1.64249     -2.000000       0.199637        0.200781        0.0001083522    0.000143972     1.110514e-06
