reaction,Q_keV,alpha,beta,gamma
Be9tTOLi8a,2927.55,1.2461791,0,-33.972749
C11He3TOC10a,7457.03,6.0305815,0,-86.535275
C11He3TON13p,12946.2,8.0683386,0,-150.23404
C11He3TOO14g,17572.8,2.8803071e+11,1.5,-203.92432
C11aTON14p,2921.93,3.6807432,0,-33.907566
C11aTOO15g,10218.7,9.9335872e+10,1.5,-118.58327
C11dTOC12p,16496.2,14.905643,0,-191.42989
C11dTON13g,18439.6,1.3179717e+11,1.5,-213.98317
C11nTOC12g,18720.7,7.0297117e+10,1.5,-217.24491
C11nTOaaa,11446,3.5089533e-10,-1.5,-132.82497
C11pTON12g,600.271,2.3331288e+10,1.5,-6.9658564
C11tTOB10a,11123.7,0.86219027,0,-129.08499
C11tTOB11He3,2000.28,1.0004981,0,-23.212332
C11tTOC12d,12463.5,4.2957702,0,-144.63277
C11tTOC13p,15185.2,8.0723299,0,-176.21728
C11tTON13n,12182.4,8.0539624,0,-141.37103
C11tTON14g,22735.8,9.6088584e+10,1.5,-263.83793
C12He3TOC11a,1856.9,0.37202599,0,-21.548465
C12He3TON14p,4778.83,1.3693321,0,-55.456031
C12He3TOO15g,12075.6,3.6955526e+10,1.5,-140.13174
C12aTOO16g,7161.92,5.1331457e+10,1.5,-83.110607
C12dTOC13p,2721.74,1.8791345,0,-31.584511
C12dTON14g,10272.3,2.2368185e+10,1.5,-119.20516
C12nTOC13g,4946.31,8.8622636e+09,1.5,-57.39953
C12pTON13g,1943.49,8.8420987e+09,1.5,-22.553277
C12tTOB11a,3857.19,0.3722113,0,-44.760797
C12tTOC14p,4640.95,4.1088429,0,-53.855952
C12tTON14n,4015.08,1.3668922,0,-46.593022
C12tTON15g,14848.4,3.6974884e+10,1.5,-172.30821
C13He3TOC12a,15631.3,2.9509791,0,-181.39385
C13He3TON15p,10665.8,4.1796188,0,-123.77169
C13He3TOO15n,7129.31,4.1699872,0,-82.732208
C13He3TOO16g,22793.2,1.5147806e+11,1.5,-264.50445
C13aTOO16n,2215.61,5.7921384,0,-25.711077
C13aTOO17g,6358.69,1.7616093e+10,1.5,-73.789526
C13dTOB11a,5168.11,0.68729211,0,-59.973407
C13dTOC14p,5951.87,7.5870221,0,-69.068562
C13dTON14n,5326,2.523981,0,-61.805632
C13dTON15g,16159.3,6.8274516e+10,1.5,-187.52082
C13nTOC14g,8176.43,3.5781468e+10,1.5,-94.883581
C13pTON14g,7550.56,1.1903451e+10,1.5,-87.620652
C13tTOB12a,2280.5,0.98210754,0,-26.464154
C13tTOC15p,912.749,4.176189,0,-10.592014
C13tTON15n,9902.06,4.1721715,0,-114.90868
C13tTON16g,12390.9,3.027085e+10,1.5,-143.79066
C14He3TOC13a,12401.2,0.73089104,0,-143.9098
C14He3TON16p,4978.24,0.84750249,0,-57.770086
C14He3TOO16n,14616.8,4.2334221,0,-169.62087
C14He3TOO17g,18759.9,1.2875445e+10,1.5,-217.69932
C14aTOO18g,6227.63,5.4206931e+10,1.5,-72.268589
C14dTOB12a,361.3,0.44915617,0,-4.1927127
C14dTON15n,7982.86,1.9080971,0,-92.63724
C14dTON16g,10471.7,1.3844043e+10,1.5,-121.51922
C14nTOC15g,1218.11,9.0075208e+09,1.5,-14.135592
C14pTON15g,10207.4,8.9988555e+09,1.5,-118.45226
C14tTON16n,4214.49,0.84599241,0,-48.907077
C14tTON17g,10099.7,3.8603641e+10,1.5,-117.2022
C15aTOO18n,5009.51,6.0179635,0,-58.132997
C15aTOO19g,8965.12,1.8484805e+10,1.5,-104.03585
C15nTOC16g,4250.42,3.6286036e+10,1.5,-49.324054
C15pTOB12a,1367.76,0.23516836,0,-15.87214
C15pTOC14d,1006.46,0.52357817,0,-11.679427
C15pTON15n,8989.31,0.99903799,0,-104.31667
C15pTON16g,11478.2,7.2484386e+09,1.5,-133.19864
C9aTON12p,6708.84,3.4380846,0,-77.852911
C9aTOO13g,8220.92,4.5605343e+10,1.5,-95.399767
C9dTOC10p,19059.1,14.516402,0,-221.17146
C9nTOB8d,924.995,0.22575139,0,-10.734124
C9nTOBe7He3,6282.1,0.28252455,0,-72.900734
C9nTOC10g,21283.6,6.8461404e+10,1.5,-246.98648
C9tTOB8a,18514.3,1.2496256,0,-214.84947
C9tTOC11p,25922.4,3.8469286,0,-300.81742
C9tTON12g,26522.7,8.9753798e+10,1.5,-307.78328
F17aTONa21g,6561.48,8.633191e+10,1.5,-76.142766
F17aTONe20p,4129.58,18.628505,0,-47.921751
F17nTOF18g,9149.92,3.6705419e+10,1.5,-106.18039
F17nTON14a,4734.69,0.67725653,0,-54.943743
F17nTOO17p,3542.81,1.002282,0,-41.112617
F17pTONe18g,3923.07,1.098503e+11,1.5,-45.525349
F18aTONa22g,8479.41,2.506578e+10,1.5,-98.399419
F18aTONe21p,1740.82,2.3574347,0,-20.201433
F18nTOF19g,10431.9,2.7659773e+10,1.5,-121.05675
F18nTON15a,6418.06,0.49910918,0,-74.478542
F18nTOO18p,2438.26,3.0065131,0,-28.294871
F18pTONe19g,6410.02,2.7596296e+10,1.5,-74.385206
F18pTOO15a,2881.56,0.49795902,0,-33.439059
F19aTONa23g,10467.3,2.967085e+10,1.5,-121.46825
F19aTONe22p,1673.22,6.3577315,0,-19.416862
F19nTOF20g,6601.34,7.404274e+09,1.5,-76.605323
F19pTONe20g,12843.5,3.6967387e+10,1.5,-149.04214
F19pTOO16a,8113.61,0.65397327,0,-94.15456
He3He3TOapp,12859.6,3.3947049e-10,-1.5,-149.22923
He3aTOBe7g,1587.13,1.1128946e+10,1.5,-18.417934
He3dTOap,18353.1,5.5452865,0,-212.97836
He3nTOag,20577.6,2.6152354e+10,1.5,-238.79338
He3nTOtp,763.755,1.001785,0,-8.8630089
