name,reactants,products,source,ref
N14pTOO15g,N14+p,O15+g,tabulated,NACRE II
N15aTOF19g,N15+He4,F19+g,tabulated,ILCCF10
N15nTON16g,N15+n,N16+g,tabulated,TALYS2
N15pTOC12a,N15+p,C12+He4,tabulated,NACRE II
N15pTOO16g,N15+p,O16+g,tabulated,NACRE II
N16TOO16Bm,N16,O16+Bm,analytic,Aud03
N17TOO16nBm,N17,O16+n+Bm,analytic,Aud03
Na20TONe20Bp,Na20,Ne20+Bp,analytic,Aud03
Na20nTOF17a,Na20+n,F17+He4,tabulated,TALYS2
Na21TONe21Bp,Na21,Ne21+Bp,analytic,Aud03
Ne18TOF18Bp,Ne18,F18+Bp,analytic,Aud03
Ne18nTOF18p,Ne18+n,F18+p,tabulated,TALYS2
Ne18nTOO15a,Ne18+n,O15+He4,tabulated,TALYS2
Ne19TOF19Bp,Ne19,F19+Bp,analytic,Aud03
Ne19nTOF19p,Ne19+n,F19+p,tabulated,TALYS2
Ne19nTOO16a,Ne19+n,O16+He4,tabulated,TALYS2
Ne19pTONa20g,Ne19+p,Na20+g,tabulated,ILCCF10
Ne23TONa23Bm,Ne23,Na23+Bm,analytic,Aud03
O13TON13Bp,O13,N13+Bp,analytic,Aud03
O14TON14Bp,O14,N14+Bp,analytic,Aud03
O14aTOF17p,O14+He4,F17+p,analytic,Bar97C
O14aTONe18g,O14+He4,Ne18+g,analytic,Wie87
O14nTOC11a,O14+n,C11+He4,tabulated,TALYS2
O14nTOC12He3,O14+n,C12+He3,tabulated,TALYS2
O14nTON14p,O14+n,N14+p,analytic,CF88
O14nTOO15g,O14+n,O15+g,tabulated,TALYS2
O15TON15Bp,O15,N15+Bp,analytic,Aud03
O15aTONe19g,O15+He4,Ne19+g,tabulated,ILCCF10
O15nTOC12a,O15+n,C12+He4,tabulated,TALYS2
O15nTON15p,O15+n,N15+p,tabulated,TALYS2
O15nTOO16g,O15+n,O16+g,tabulated,TALYS2
O16aTONe20g,O16+He4,Ne20+g,tabulated,ILCCF10
O16nTOO17g,O16+n,O17+g,analytic,Iga95
O16pTOF17g,O16+p,F17+g,tabulated,ILCCF10
O16pTON13a,O16+p,N13+He4,analytic,CF88
O17aTONe20n,O17+He4,Ne20+n,tabulated,NACRE
O17aTONe21g,O17+He4,Ne21+g,tabulated,CF88
O17nTOC14a,O17+n,C14+He4,analytic,Koe91
O17nTOO18g,O17+n,O18+g,tabulated,TALYS2
O17pTOF18g,O17+p,F18+g,tabulated,ILCCF10
O17pTON14a,O17+p,N14+He4,tabulated,ILCCF10
O18aTONe22g,O18+He4,Ne22+g,tabulated,ILCCF10
O18nTOO19g,O18+n,O19+g,tabulated,TALYS2
O18pTOF19g,O18+p,F19+g,tabulated,ILCCF10
O18pTON15a,O18+p,N15+He4,tabulated,ILCCF10
O19TOF19Bm,O19,F19+Bm,analytic,Aud03
O19aTONe22n,O19+He4,Ne22+n,tabulated,TALYS2
O19aTONe23g,O19+He4,Ne23+g,tabulated,TALYS2
O19nTOO20g,O19+n,O20+g,tabulated,TALYS2
O19pTOF19n,O19+p,F19+n,tabulated,TALYS2
O19pTOF20g,O19+p,F20+g,tabulated,TALYS2
O19pTON16a,O19+p,N16+He4,tabulated,TALYS2
O20TOF20Bm,O20,F20+Bm,analytic,Aud03
aaaTOC12gg,He4+He4+He4,C12+g+g,analytic,NACRE
aanTOBe9g,He4+He4+n,Be9+g,analytic,NACRE
annTOHe6g,He4+n+n,He6+g,analytic,Efr96
anpTOLi6g,He4+n+p,Li6+g,analytic,CF88
daTOLi6g,H2+He4,Li6+g,tabulated,Trezzi2017
ddTOHe3n,H2+H2,He3+n,tabulated,Gom17
ddTOag,H2+H2,He4+g,tabulated,NACRE II
ddTOtp,H2+H2,H3+p,tabulated,Gom17
dnTOtg,H2+n,H3+g,analytic,Nag06
dpTOHe3g,H2+p,He3+g,tabulated,Moscoso2021
npTOdg,n+p,H2+g,tabulated,And06
ppnTOdp,p+p+n,H2+p,analytic,CF88
tTOHe3Bm,H3,He3+Bm,analytic,Aud03
taTOLi7g,H3+He4,Li7+g,tabulated,DAACV04
tdTOan,H3+H2,He4+n,tabulated,deSouza19a
tpTOag,H3+p,He4+g,tabulated,Ser04
ttTOann,H3+H3,He4+n+n,analytic,Nag06
