# T[K] Gamma_pTOn[1/s]
# fingerprint_hash: 4fdc559c1b4cbbf9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"thermal_corrections":true,"thermal_fingerprint_hash":"c21cbe75255f86fb","y_SZ":0.0}
7.220993603746511459e+09 3.555457034891431789e+01
7.563058554915418625e+09 4.790096550254415320e+01
7.921327429981652260e+09 6.429071231361535865e+01
8.296567823370694160e+09 8.597974127823091806e+01
8.689583691145269394e+09 1.145979803746881345e+02
9.101217073488599777e+09 1.522567712476990209e+02
9.532349898783620834e+09 2.016834433680213294e+02
9.983905873152660370e+09 2.664026526413781539e+02
1.045685245950651550e+10 3.509534412737056073e+02
1.095220295034280777e+10 4.611827783954177562e+02
1.147101863873471642e+10 6.046067661031976286e+02
1.201441109216115379e+10 7.908712465610798290e+02
1.258354453405078697e+10 1.032360730859461682e+03
1.317963833814153862e+10 1.344932086970201226e+03
1.380396964100008011e+10 1.748889459062612104e+03
1.445787607829922104e+10 2.270203876792758820e+03
1.514275865071468735e+10 2.942049809011369689e+03
1.586008472558225250e+10 3.806798425580293042e+03
1.661139118074601936e+10 4.918482202533695272e+03
1.739828769733362579e+10 6.345985424533403602e+03
1.822246020851322174e+10 8.177077512490004665e+03
1.908567451162081528e+10 1.052347897082569762e+04
1.998978005139805222e+10 1.352732044380894877e+04
2.093671388244474030e+10 1.736926560300145866e+04
2.192850481937620163e+10 2.227896644433136680e+04
2.296727778357814789e+10 2.854799413887460469e+04
2.405525835587034225e+10 3.654650256712648115e+04
2.519477754483444977e+10 4.674398980821239093e+04
2.638827678102181244e+10 5.973559761227633135e+04
2.763831314774128723e+10 7.627622764194724732e+04
2.894756485963434601e+10 9.732157633889043063e+04
3.031883700077460480e+10 1.240820618173261610e+05
3.175506753458745575e+10 1.580901538607435650e+05
3.325933359846393585e+10 2.012833697168036888e+05
3.483485809655603027e+10 2.561139354923104693e+05
3.648501660487985992e+10 3.256797515964834602e+05
3.821334460351841736e+10 4.138960483473706990e+05
4.002354505142093658e+10 5.257116940214440692e+05
4.191949632002719116e+10 6.673701111516392557e+05
4.390526050271486664e+10 8.467564298588605598e+05
4.598509211787198639e+10 1.073814911237187916e+06
4.816344722424354553e+10 1.361091470465298509e+06
5.044499296807847595e+10 1.724408434552635066e+06
5.283461758253464508e+10 2.183691710437428206e+06
5.533744086076338196e+10 2.764067830396769568e+06
5.795882512511563110e+10 3.497159539275262505e+06
6.070438671596701050e+10 4.422792151710153557e+06
