# T[K] Gamma_nTOp[1/s]
# fingerprint_hash: 4fdc559c1b4cbbf9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"thermal_corrections":true,"thermal_fingerprint_hash":"c21cbe75255f86fb","y_SZ":0.0}
7.137922604897956848e+08 1.758280289032033927e+00
7.476052408257019520e+08 1.759144767465006032e+00
7.830199724028053284e+08 1.760244422959434951e+00
8.201123316157089472e+08 1.761651537125401790e+00
8.589617891919622421e+08 1.763460878841288659e+00
8.996515804588438272e+08 1.765797376549932407e+00
9.422688836758164167e+08 1.768824683884037574e+00
9.869050068147871494e+08 1.772755149129442209e+00
1.033655583188279390e+09 1.777864427160677607e+00
1.082620776344705820e+09 1.784507660249312622e+00
1.133905494669714689e+09 1.793140814912041581e+00
1.187619616153371811e+09 1.804344925810703382e+00
1.243878223804812670e+09 1.818857646862729549e+00
1.302801852218650818e+09 1.837609938292380951e+00
1.364516745821486712e+09 1.861772666489515338e+00
1.429155129351755381e+09 1.892811399576474152e+00
1.496855491152500153e+09 1.932549333036091666e+00
1.567762879883925438e+09 1.983251181111919115e+00
1.642029215291518450e+09 2.047715161908724824e+00
1.719813613695526361e+09 2.129395099224183685e+00
1.801282728899175167e+09 2.232533766072702264e+00
1.886611109245975256e+09 2.362330171262798206e+00
1.975981571591228724e+09 2.525154796604350604e+00
2.069585592988827705e+09 2.728777282957125294e+00
2.167623720932655334e+09 2.982684152311098291e+00
2.270306003031436920e+09 3.298435475078686174e+00
2.377852437037762642e+09 3.690112119065592999e+00
2.490493442195304871e+09 4.174850731151852123e+00
2.608470352914214611e+09 4.773520686094378185e+00
2.732035935832361221e+09 5.511531704932371767e+00
2.861454931370234489e+09 6.419814353187122791e+00
2.997004620939734936e+09 7.535958332496168310e+00
3.138975421022267342e+09 8.905907904281518128e+00
3.287671505388730526e+09 1.058568898506265832e+01
3.443411456794701099e+09 1.264360725019485088e+01
3.606528949546919346e+09 1.516285823085215689e+01
3.777373464403704166e+09 1.824542420253407471e+01
3.956311037340701103e+09 2.201599313493486676e+01
4.143725043786407948e+09 2.662653634692128435e+01
4.340017020007625580e+09 3.226397629401992617e+01
4.545607523404695511e+09 3.915711518009958780e+01
4.760937033559601784e+09 4.758568200598983822e+01
4.986466895967714310e+09 5.789481854212503720e+01
5.222680310474769592e+09 7.050582498126625808e+01
5.470083366537114143e+09 8.593969532903386721e+01
5.729206127523020744e+09 1.048339120273412277e+02
6.000603766378561974e+09 1.279766234862406833e+02
6.284857755090764046e+09 1.563346058383948503e+02
6.582577110496818542e+09 1.911042055210882893e+02
6.894399699108365059e+09 2.337554024401012214e+02
