# Source: primat qed_pressure.py — QED plasma-pressure corrections delta_P(T)
# delta_P_a [O(e^2), one-loop] and delta_P_e3 [O(e^3), ring/plasmon];
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa, dPe3
# T [MeV]       dP_a [MeV^4]      dP_e3 [MeV^4]      d(dP_a)/dT [MeV^3]  d(dP_e3)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]  d2(dP_e3)/dT2 [MeV^2]
3.258562E-02 -1.372045E-15 3.766117E-18 -8.085466E-13 2.939480E-15 -4.275044E-10 2.083322E-12
3.334618E-02 -2.128135E-15 6.731831E-18 -1.202723E-12 5.027015E-15 -6.090448E-10 3.406179E-12
3.412449E-02 -3.274102E-15 1.188764E-17 -1.774696E-12 8.493607E-15 -8.607430E-10 5.501854E-12
3.492096E-02 -4.997219E-15 2.074449E-17 -2.598134E-12 1.418205E-14 -1.206968E-09 8.782234E-12
3.573602E-02 -7.568099E-15 3.578280E-17 -3.774487E-12 2.340834E-14 -1.679566E-09 1.385723E-11
3.657011E-02 -1.137482E-14 6.102763E-17 -5.442407E-12 3.820358E-14 -2.319828E-09 2.161929E-11
3.742366E-02 -1.696983E-14 1.029374E-16 -7.789990E-12 6.166714E-14 -3.180895E-09 3.335921E-11
3.829714E-02 -2.513385E-14 1.717615E-16 -1.107057E-11 9.847633E-14 -4.330649E-09 5.092285E-11
3.919100E-02 -3.696252E-14 2.835913E-16 -1.562294E-11 1.556136E-13 -5.855182E-09 7.692061E-11
4.010573E-02 -5.398280E-14 4.634268E-16 -2.189709E-11 2.433930E-13 -7.862916E-09 1.150043E-10
4.104181E-02 -7.830862E-14 7.497117E-16 -3.048670E-11 3.768928E-13 -1.048946E-08 1.702285E-10
4.199973E-02 -1.128473E-13 1.200975E-15 -4.216992E-11 5.779352E-13 -1.390331E-08 2.495173E-10
4.298001E-02 -1.615722E-13 1.905459E-15 -5.796018E-11 8.777927E-13 -1.831242E-08 3.622603E-10
4.398317E-02 -2.298791E-13 2.994940E-15 -7.916918E-11 1.320851E-12 -2.397186E-08 5.210638E-10
4.500975E-02 -3.250521E-13 4.664387E-15 -1.074844E-10 1.969522E-12 -3.119255E-08 7.426907E-10
4.606029E-02 -4.568656E-13 7.199652E-15 -1.450641E-10 2.910756E-12 -4.035117E-08 1.049220E-09
4.713535E-02 -6.383605E-13 1.101615E-14 -1.946525E-10 4.264620E-12 -5.190141E-08 1.469463E-09
4.823549E-02 -8.868380E-13 1.671236E-14 -2.597197E-10 6.195461E-12 -6.638659E-08 2.040681E-09
4.936132E-02 -1.225126E-12 2.514329E-14 -3.446297E-10 8.926330E-12 -8.445369E-08 2.810632E-09
5.051342E-02 -1.683184E-12 3.752041E-14 -4.548415E-10 1.275744E-11 -1.068690E-07 3.840005E-09
5.169242E-02 -2.300124E-12 5.554650E-14 -5.971487E-10 1.808960E-11 -1.345354E-07 5.205265E-09
5.289893E-02 -3.126753E-12 8.159630E-14 -7.799631E-10 2.545369E-11 -1.685108E-07 7.001963E-09
5.413360E-02 -4.228741E-12 1.189564E-13 -1.013650E-09 3.554744E-11 -2.100294E-07 9.348529E-09
5.539709E-02 -5.690558E-12 1.721416E-13 -1.310919E-09 4.928102E-11 -2.605230E-07 1.239060E-08
5.669007E-02 -7.620351E-12 2.473092E-13 -1.687285E-09 6.783300E-11 -3.216458E-07 1.630587E-08
5.801323E-02 -1.015595E-11 3.527968E-13 -2.161601E-09 9.271855E-11 -3.952993E-07 2.130951E-08
5.936727E-02 -1.347222E-11 4.998168E-13 -2.756674E-09 1.258720E-10 -4.836601E-07 2.766017E-08
6.075292E-02 -1.779009E-11 7.033466E-13 -3.499982E-09 1.697461E-10 -5.892089E-07 3.566644E-08
6.217090E-02 -2.338744E-11 9.832616E-13 -4.424488E-09 2.274301E-10 -7.147608E-07 4.569396E-08
6.362198E-02 -3.061245E-11 1.365768E-12 -5.569579E-09 3.027897E-10 -8.634975E-07 5.817288E-08
6.510694E-02 -3.989954E-11 1.885206E-12 -6.982137E-09 4.006322E-10 -1.039001E-06 7.360586E-08
6.662655E-02 -5.178869E-11 2.586297E-12 -8.717752E-09 5.268982E-10 -1.245289E-06 9.257630E-08
6.818162E-02 -6.694855E-11 3.526945E-12 -1.084210E-08 6.888854E-10 -1.486851E-06 1.157569E-07
6.977300E-02 -8.620404E-11 4.781680E-12 -1.343248E-08 8.955057E-10 -1.768685E-06 1.439185E-07
7.140151E-02 -1.105692E-10 6.445904E-12 -1.657961E-08 1.157580E-09 -2.096338E-06 1.779384E-07
7.306804E-02 -1.412864E-10 8.641056E-12 -2.038953E-08 1.488176E-09 -2.475944E-06 2.188094E-07
