# Source: primat qed_pressure.py — QED plasma-pressure correction delta_P_a(T)
# delta_P_a: O(e^2), one-loop (Frenkel-Galitskii-Migdal)
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa
# T [MeV]       dP_a [MeV^4]      d(dP_a)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]
2.305289E-02 -6.197110E-19 -6.901784E-16 -6.996729E-13
2.359095E-02 -1.114266E-18 -1.188845E-15 -1.153901E-12
2.414157E-02 -1.980542E-18 -2.024473E-15 -1.881336E-12
2.470504E-02 -3.480884E-18 -3.409074E-15 -3.033222E-12
2.528166E-02 -6.050857E-18 -5.678204E-15 -4.837217E-12
2.587174E-02 -1.040579E-17 -9.357186E-15 -7.632232E-12
2.647559E-02 -1.770807E-17 -1.525972E-14 -1.191737E-11
2.709354E-02 -2.982696E-17 -2.463313E-14 -1.841994E-11
2.772591E-02 -4.973825E-17 -3.937013E-14 -2.818893E-11
2.837304E-02 -8.213256E-17 -6.231440E-14 -4.272209E-11
2.903527E-02 -1.343324E-16 -9.769721E-14 -6.413706E-11
2.971296E-02 -2.176616E-16 -1.517552E-13 -9.539923E-11
3.040646E-02 -3.494711E-16 -2.335965E-13 -1.406224E-10
3.111616E-02 -5.561091E-16 -3.564033E-13 -2.054615E-10
3.184242E-02 -8.772367E-16 -5.390870E-13 -2.976207E-10
3.258562E-02 -1.372045E-15 -8.085466E-13 -4.275044E-10
3.334618E-02 -2.128135E-15 -1.202723E-12 -6.090448E-10
3.412449E-02 -3.274102E-15 -1.774696E-12 -8.607430E-10
3.492096E-02 -4.997219E-15 -2.598134E-12 -1.206968E-09
3.573602E-02 -7.568099E-15 -3.774487E-12 -1.679566E-09
3.657011E-02 -1.137482E-14 -5.442407E-12 -2.319828E-09
3.742366E-02 -1.696983E-14 -7.789990E-12 -3.180895E-09
3.829714E-02 -2.513385E-14 -1.107057E-11 -4.330649E-09
3.919100E-02 -3.696252E-14 -1.562294E-11 -5.855182E-09
4.010573E-02 -5.398280E-14 -2.189709E-11 -7.862916E-09
4.104181E-02 -7.830862E-14 -3.048670E-11 -1.048946E-08
4.199973E-02 -1.128473E-13 -4.216992E-11 -1.390331E-08
4.298001E-02 -1.615722E-13 -5.796018E-11 -1.831242E-08
4.398317E-02 -2.298791E-13 -7.916918E-11 -2.397186E-08
4.500975E-02 -3.250521E-13 -1.074844E-10 -3.119255E-08
4.606029E-02 -4.568656E-13 -1.450641E-10 -4.035117E-08
4.713535E-02 -6.383605E-13 -1.946525E-10 -5.190141E-08
4.823549E-02 -8.868380E-13 -2.597197E-10 -6.638659E-08
4.936132E-02 -1.225126E-12 -3.446297E-10 -8.445369E-08
5.051342E-02 -1.683184E-12 -4.548415E-10 -1.068690E-07
5.169242E-02 -2.300124E-12 -5.971487E-10 -1.345354E-07
5.289893E-02 -3.126753E-12 -7.799631E-10 -1.685108E-07
5.413360E-02 -4.228741E-12 -1.013650E-09 -2.100294E-07
5.539709E-02 -5.690558E-12 -1.310919E-09 -2.605230E-07
5.669007E-02 -7.620351E-12 -1.687285E-09 -3.216458E-07
5.801323E-02 -1.015595E-11 -2.161601E-09 -3.952993E-07
5.936727E-02 -1.347222E-11 -2.756674E-09 -4.836601E-07
6.075292E-02 -1.779009E-11 -3.499982E-09 -5.892089E-07
