# grid rho_e p_e drho_e_dT dp_e_dT
# fingerprint_hash: 930c11db8e5d4639
# fingerprint: {"T_start_cosmo_MeV":40.0,"format_version":1,"n_electron_table":2000}
1.829847747507078637e+01 1.290867999238345365e+05 4.302408132921071228e+04 2.821883869718978531e+04 9.405748728957742060e+03
1.838181278979572042e+01 1.314545395981939218e+05 4.381328354912468785e+04 2.860614902511303808e+04 9.534849753479073115e+03
1.846552763198075908e+01 1.338657082770196721e+05 4.461696169904150884e+04 2.899877521317007631e+04 9.665722720368274167e+03
1.854962373007794696e+01 1.363211025280602917e+05 4.543538129784810008e+04 2.939679022159167289e+04 9.798391949652112089e+03
1.863410282041104793e+01 1.388215335295273981e+05 4.626881273455249175e+04 2.980026801198687826e+04 9.932882095149889210e+03
1.871896664721144532e+01 1.413678273380799510e+05 4.711753135761075100e+04 3.020928356108719527e+04 1.006921814905482825e+04
1.880421696265414155e+01 1.439608251617191709e+05 4.798181756589221186e+04 3.062391287467908114e+04 1.020742544657823964e+04
1.888985552689388570e+01 1.466013836376898689e+05 4.886195690131266019e+04 3.104423300172741074e+04 1.034752967065733719e+04
1.897588410810161008e+01 1.492903751154822821e+05 4.975824014316793910e+04 3.147032204869358975e+04 1.048955685672795516e+04
1.906230448250087406e+01 1.520286879450193956e+05 5.067096340419637272e+04 3.190225919404935848e+04 1.063353339756246351e+04
1.914911843440455286e+01 1.548172267701343808e+05 5.160042822840392182e+04 3.234012470299017514e+04 1.077948604817424166e+04
1.923632775625167213e+01 1.576569128274281684e+05 5.254694169068319752e+04 3.278399994235047052e+04 1.092744193078942408e+04
1.932393424864444853e+01 1.605486842506111425e+05 5.351081649826029752e+04 3.323396739572378283e+04 1.107742853988694515e+04
1.941193972038537652e+01 1.634934963804220315e+05 5.449237109400100599e+04 3.369011067878980975e+04 1.122947374730754200e+04
1.950034598851469170e+01 1.664923220802392461e+05 5.549192976161370461e+04 3.415251455485283077e+04 1.138360580743326136e+04
1.958915487834781999e+01 1.695461520574735187e+05 5.650982273278076173e+04 3.462126495059254376e+04 1.153985336243770689e+04
1.967836822351307902e+01 1.726559951908603252e+05 5.754638629625463363e+04 3.509644897203143773e+04 1.169824544760849130e+04
1.976798786598952873e+01 1.758228788637513935e+05 5.860196290895556012e+04 3.557815492072115740e+04 1.185881149674272638e+04
1.985801565614503161e+01 1.790478493035242136e+05 5.967690130910733569e+04 3.606647231015136640e+04 1.202158134761660585e+04
1.994845345277437687e+01 1.823319719272100192e+05 6.077155663144634309e+04 3.656149188238307397e+04 1.218658524752985795e+04
2.003930312313777407e+01 1.856763316934706818e+05 6.188629052454668999e+04 3.706330562491137971e+04 1.235385385892667728e+04
2.013056654299932902e+01 1.890820334610224236e+05 6.302147127029471449e+04 3.757200678775869164e+04 1.252341826509343264e+04
2.022224559666579680e+01 1.925502023536390043e+05 6.417747390555597667e+04 3.808768990080292133e+04 1.269530997593475695e+04
2.031434217702547684e+01 1.960819841318465187e+05 6.535468034607388108e+04 3.861045079134351545e+04 1.286956093382887775e+04
2.040685818558732123e+01 1.996785455714399577e+05 6.655347951264031872e+04 3.914038660190863447e+04 1.304620351956333070e+04
2.049979553252011755e+01 2.033410748489352409e+05 6.777426745958058746e+04 3.967759580830622144e+04 1.322527055835200736e+04
